2022_광역시도,부채,보유비울,median
전 국,"9,170",63.3,"7,463"
서 울,"11,972",62.5,"10,000"
부 산,"8,632",62.0,"7,148"
대 구,"8,474",61.4,"6,000"
인 천,"9,566",69.5,"8,000"
광 주,"6,898",57.7,"6,000"
대 전,"7,959",64.2,"6,400"
울 산,"6,894",62.4,"6,500"
세 종,"14,082",71.6,"10,314"
경 기,"11,863",71.1,"9,540"
강 원,"5,370",60.2,"4,500"
충 북,"5,913",57.1,"4,100"
충 남,"5,978",58.2,"5,608"
전 북,"5,618",53.5,"5,440"
전 남,"5,088",56.5,"4,870"
경 북,"5,543",54.9,"5,040"
경 남,"6,594",60.0,"6,000"
제 주,"7,227",61.7,"3,500"
수 도 권,"11,648",67.6,"9,540"
비 수 도 권,"6,800",59.2,"5,600"
