row_index,ratio mean,br mean,row_index
중구,4.97,76.9,중구
종로구,5.0,60.06,종로구
노원구,5.25,91.56,노원구
강남구,5.4,66.84,강남구
성북구,5.44,79.45,성북구
광진구,5.46,71.04,광진구
영등포구,5.54,88.49,영등포구
성동구,5.56,92.64,성동구
도봉구,5.56,77.11,도봉구
마포구,5.61,74.88,마포구
송파구,5.68,84.59,송파구
서대문구,5.68,77.42,서대문구
중랑구,5.69,79.74,중랑구
서초구,5.7,82.66,서초구
용산구,5.7,76.43,용산구
동작구,5.7,80.05,동작구
금천구,5.74,77.29,금천구
은평구,5.75,75.62,은평구
관악구,5.76,58.36,관악구
동대문구,5.76,78.03,동대문구
강서구,5.82,85.51,강서구
강동구,5.9,86.78,강동구
양천구,5.95,84.79,양천구
강북구,6.0,67.86,강북구
구로구,6.06,90.8,구로구
