"시도별",2021 p),2021 p),2021 p),2021 p)
"시도별",1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비
"전국",40125,40571,22220,18435
"서울특별시",49648,54209,25256,22613
"부산광역시",29649,32014,21352,18693
"대구광역시",25492,29353,21046,18378
"인천광역시",33287,35818,21317,17170
"광주광역시",29583,32999,22472,18829
"대전광역시",31362,33810,22730,19146
"울산광역시",69133,59346,25165,19211
"세종특별자치시",37958,39730,22061,17198
"경기도",38720,41011,21937,17743
"강원도",33319,30858,21038,17077
"충청북도",45803,37903,21081,16097
"충청남도",57241,45544,21262,16319
"전라북도",30912,31157,20862,16156
"전라남도",49506,38857,20881,16251
"경상북도",42706,38000,20667,16453
"경상남도",33782,32968,20650,16981
"제주특별자치도",29781,31999,20475,17285
